Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mileage_new,engine_new,power_new,age,make,model,KM_Driven
Chennai,Petrol,Manual,First,5,4.5,18.2,1199,88.7,9,honda,jazz,46
Chennai,Diesel,Manual,First,7,6,20.77,1248,88.76,8,maruti,ertiga,87
Jaipur,Diesel,Manual,First,5,3.5,23.08,1461,63.1,7,nissan,micra,86
Chennai,Diesel,Manual,Second,5,1.95,22.3,1248,74,8,tata,indica,65
Jaipur,Diesel,Manual,First,5,5.6,25.2,1248,74,5,maruti,swift,64
Kochi,Diesel,Manual,First,5,5.4,25.8,1498,98.6,4,honda,amaze,58
Jaipur,Diesel,Manual,First,5,5.99,28.4,1248,74,3,maruti,swift,25
Kochi,Diesel,Manual,First,5,6.34,20.45,1461,83.8,6,renault,duster,77
Bangalore,Diesel,Manual,Second,5,8.25,23.65,1248,88.5,5,maruti,s,55
Kolkata,Petrol,Manual,First,5,1.87,18.5,1197,80,10,hyundai,i20,45
Hyderabad,Diesel,Manual,First,5,4.25,23.08,1461,63.1,8,nissan,micra,54
Hyderabad,Petrol,Manual,Second,5,2.75,20.92,998,67.1,7,maruti,alto,54
Kochi,Petrol,Manual,First,5,9.9,17.5,1199,88.7,2,honda,wrv,37
Jaipur,Petrol,Manual,Second,5,1.85,14,1061,64,11,maruti,wagon,83
Kochi,Diesel,Manual,First,5,8.63,24.3,1248,88.5,2,maruti,vitara,50
Delhi,Petrol,Manual,First,5,4.85,18.15,1198,82,3,mahindra,kuv,52
Chennai,Diesel,Manual,First,5,5,22.07,1199,73.9,7,volkswagen,polo,62
Delhi,Petrol,Manual,Second,5,1.25,19.7,796,46.3,12,maruti,alto,90
Kochi,Petrol,Manual,First,4,1.53,25.4,624,37.5,6,tata,nano,19
Coimbatore,Diesel,Manual,First,6,5.58,25.32,1198,77,3,mahindra,kuv,22
Kochi,Petrol,Manual,First,5,4.74,18.5,1197,82.9,6,hyundai,i20,35
Jaipur,Diesel,Manual,First,5,3.85,24.4,1120,71,6,hyundai,xcent,75
Delhi,Diesel,Manual,First,5,4.25,22.9,1248,74,6,maruti,swift,52
Kolkata,Diesel,Manual,First,5,3.3,17.8,1248,75,6,maruti,swift,53
Delhi,Diesel,Manual,First,5,3.85,28.4,1248,74,7,maruti,swift,65
Chennai,Petrol,Manual,Third,5,3.6,18.9,1197,82,5,hyundai,grand,54
Kochi,Petrol,Manual,First,5,3.3,25.17,799,53.3,3,renault,kwid,16
Kolkata,Petrol,Manual,First,5,2.07,20.36,1197,78.9,10,hyundai,i10,32
Hyderabad,Petrol,Manual,First,5,2.25,18.2,998,67.1,10,maruti,zen,39
Bangalore,Diesel,Manual,First,5,2.75,20,1399,68,10,ford,figo,72
Chennai,Diesel,Manual,First,5,2.5,25,1396,69,4,tata,indica,178
Mumbai,Petrol,Automatic,Second,5,1.85,16.4,1497,78,13,honda,city,63
Pune,Diesel,Manual,First,7,8.15,24.52,1248,88.5,4,maruti,ertiga,63
